6,9369
5,2509
1,2811
1,5223
1,5894
6,7081
6,2491
3,1809
6,3311
1,3481
5,7046
6,5882
5,8548
1,1229
1,4304
6,2128
5,8921
2,1753
6,8441
6,6747
1,3759
6,5075
1,1036
6,782
6,0677
5,9082
6,2547
5,6627
6,7916
1,283
6,6471
1,2548
6,9664
5,0337
1,981
6,3372
2,6278
1,169
6,6394
1,7338
2,0998
4,083
2,7378
1,9411
6,6644
5,835
3,7626
6,5572
6,8497
3,0705
1,6966
2,4576
6,6474
6,7682
1,2872
1,3242
1,2308
3,5356
6,9874
1,0665
1,8632
6,5358
5,5688
5,3605
1,3711
6,7983
1,0235
6,7837
2,7068
2,4778
4,6588
1,1067
4,1959
6,0684
1,5075
1,4094
6,4521
6,1341
1,7421
1,8977
6,5031
1,8303
1,0586
6,2998
6,3232
1,7451
6,9506
1,8589
5,6253
6,554
6,3252
1,2786
1,8015
6,5813
1,7866
2,2296
6,9726
1,8337
1,7629
1,1145
