349,7607
352,4588
356,9829
349,3311
351,0931
352,4518
353,1876
351,9427
352,2674
353,4128
351,4672
351,1628
350,7647
353,3343
354,2019
348,353
350,1714
349,7748
349,5387
351,2015
353,1508
351,4764
352,4302
355,4538
353,6322
351,3423
350,1817
351,2219
351,9807
351,6067
353,7977
355,193
352,2401
348,0423
352,7154
354,7362
352,5894
353,4737
353,3417
350,4646
351,8446
353,4952
352,5913
353,2035
351,8443
349,499
349,5829
356,9584
351,6592
354,6601
352,455
354,7548
350,2758
347,0405
352,6002
350,9775
351,5954
353,2017
352,4625
352,99
351,7297
350,4864
354,4305
352,2684
352,4238
353,7282
352,6786
352,17
348,9616
351,2194
355,4642
350,5934
355,3101
352,8127
351,1779
349,4394
354,1827
350,8029
352,0718
347,7821
349,2505
354,8422
350,4168
352,2111
350,2597
350,2443
353,3946
350,1652
351,37
352,7927
354,5306
350,6378
350,4176
353,0285
348,8808
349,5335
354,3303
355,6044
354,5402
351,0378
