35,5577
35,8589
35,5435
35,7549
35,6778
35,908
35,7842
35,4517
35,5654
35,2726
35,9716
35,5553
35,8922
35,6803
35,9126
35,9201
35,862
34,2614
35,7036
35,5861
35,0048
35,3041
35,541
35,1091
35,9039
35,8185
35,8212
35,6164
35,8347
34,5673
35,8208
35,9117
35,9382
35,8681
35,8204
35,994
35,6381
35,9245
35,7481
35,6674
35,7766
35,3144
34,9033
35,6386
35,5859
35,1545
35,8105
35,9197
35,7151
35,9599
35,7903
35,9229
34,8659
35,6953
35,8063
35,7352
35,8187
35,905
35,7202
35,991
35,8975
35,4956
35,832
35,3084
35,1065
35,1652
35,2408
35,6131
35,7607
35,7781
35,8602
34,0003
35,6138
35,2258
35,6572
35,5906
35,9781
35,7448
35,8229
35,5815
35,6558
35,4862
35,9019
34,7353
34,6859
35,994
35,2096
35,7191
34,9158
35,7012
35,4076
35,8246
35,2455
35,9357
35,4308
35,4977
35,9543
35,9759
35,9936
35,8991
